Name,Title,Name
Bored To Tears,Alcohol Fueled Brewtality Live! [Disc 1],Metal
A.N.D.R.O.T.A.Z.,Alcohol Fueled Brewtality Live! [Disc 1],Metal
Born To Booze,Alcohol Fueled Brewtality Live! [Disc 1],Metal
World Of Trouble,Alcohol Fueled Brewtality Live! [Disc 1],Metal
No More Tears,Alcohol Fueled Brewtality Live! [Disc 1],Metal
The Begining... At Last,Alcohol Fueled Brewtality Live! [Disc 1],Metal
Heart Of Gold,Alcohol Fueled Brewtality Live! [Disc 2],Metal
Snowblind,Alcohol Fueled Brewtality Live! [Disc 2],Metal
Like A Bird,Alcohol Fueled Brewtality Live! [Disc 2],Metal
Blood In The Wall,Alcohol Fueled Brewtality Live! [Disc 2],Metal
The Beginning...At Last,Alcohol Fueled Brewtality Live! [Disc 2],Metal
Black Sabbath,Black Sabbath,Metal
The Wizard,Black Sabbath,Metal
Behind The Wall Of Sleep,Black Sabbath,Metal
N.I.B.,Black Sabbath,Metal
Evil Woman,Black Sabbath,Metal
Sleeping Village,Black Sabbath,Metal
Warning,Black Sabbath,Metal
Wheels Of Confusion The Straightener,Black Sabbath Vol. 4 (Remaster),Metal
Tomorrow's Dream,Black Sabbath Vol. 4 (Remaster),Metal
Changes,Black Sabbath Vol. 4 (Remaster),Metal
FX,Black Sabbath Vol. 4 (Remaster),Metal
Supernaut,Black Sabbath Vol. 4 (Remaster),Metal
Snowblind,Black Sabbath Vol. 4 (Remaster),Metal
Cornucopia,Black Sabbath Vol. 4 (Remaster),Metal
Laguna Sunrise,Black Sabbath Vol. 4 (Remaster),Metal
St. Vitus Dance,Black Sabbath Vol. 4 (Remaster),Metal
Under The Sun Every Day Comes and Goes,Black Sabbath Vol. 4 (Remaster),Metal
Smoked Pork,Body Count,Alternative & Punk
Body Count's In The House,Body Count,Alternative & Punk
Now Sports,Body Count,Alternative & Punk
Body Count,Body Count,Alternative & Punk
A Statistic,Body Count,Alternative & Punk
Bowels Of The Devil,Body Count,Alternative & Punk
The Real Problem,Body Count,Alternative & Punk
KKK Bitch,Body Count,Alternative & Punk
D Note,Body Count,Alternative & Punk
Voodoo,Body Count,Alternative & Punk
The Winner Loses,Body Count,Alternative & Punk
There Goes The Neighborhood,Body Count,Alternative & Punk
Oprah,Body Count,Alternative & Punk
Evil Dick,Body Count,Alternative & Punk
Body Count Anthem,Body Count,Alternative & Punk
Momma's Gotta Die Tonight,Body Count,Alternative & Punk
Freedom Of Speech,Body Count,Alternative & Punk
King In Crimson,Chemical Wedding,Metal
Chemical Wedding,Chemical Wedding,Metal
The Tower,Chemical Wedding,Metal
Killing Floor,Chemical Wedding,Metal
Book Of Thel,Chemical Wedding,Metal
Gates Of Urizen,Chemical Wedding,Metal
Jerusalem,Chemical Wedding,Metal
Trupets Of Jericho,Chemical Wedding,Metal
Machine Men,Chemical Wedding,Metal
The Alchemist,Chemical Wedding,Metal
Realword,Chemical Wedding,Metal
First Time I Met The Blues,The Best Of Buddy Guy - The Millenium Collection,Blues
Let Me Love You Baby,The Best Of Buddy Guy - The Millenium Collection,Blues
Stone Crazy,The Best Of Buddy Guy - The Millenium Collection,Blues
Pretty Baby,The Best Of Buddy Guy - The Millenium Collection,Blues
When My Left Eye Jumps,The Best Of Buddy Guy - The Millenium Collection,Blues
Leave My Girl Alone,The Best Of Buddy Guy - The Millenium Collection,Blues
She Suits Me To A Tee,The Best Of Buddy Guy - The Millenium Collection,Blues
Keep It To Myself (Aka Keep It To Yourself),The Best Of Buddy Guy - The Millenium Collection,Blues
My Time After Awhile,The Best Of Buddy Guy - The Millenium Collection,Blues
Too Many Ways (Alternate),The Best Of Buddy Guy - The Millenium Collection,Blues
Talkin' 'Bout Women Obviously,The Best Of Buddy Guy - The Millenium Collection,Blues
Jorge Da Capadócia,Prenda Minha,Latin
Prenda Minha,Prenda Minha,Latin
Meditação,Prenda Minha,Latin
Terra,Prenda Minha,Latin
Eclipse Oculto,Prenda Minha,Latin
"Texto ""Verdade Tropical""",Prenda Minha,Latin
Bem Devagar,Prenda Minha,Latin
Drão,Prenda Minha,Latin
Saudosismo,Prenda Minha,Latin
Carolina,Prenda Minha,Latin
Sozinho,Prenda Minha,Latin
Esse Cara,Prenda Minha,Latin
Mel,Prenda Minha,Latin
Linha Do Equador,Prenda Minha,Latin
Odara,Prenda Minha,Latin
A Luz De Tieta,Prenda Minha,Latin
